stdout | OMEditInfo | <p>C:/Users/x/AppData/Local/Temp/OpenModelica/OMEdit/DoubleMassVecLen.exe -port=62136 -logFormat=xml -override=startTime=0,stopTime=5,stepSize=0.0060024,tolerance=1e-06,solver=dassl,outputFormat=mat,variableFilter=.* -r=DoubleMassVecLen_res.mat -jacobian=coloredNumerical -w -lv=LOG_STATS</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006140, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006140. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.006002, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.006002. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.012287, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.012287. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.012287, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.012287. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.012287, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.012287. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.012287, system is singular for U[2, 2].</p>
LOG_LS | warning | <p>The default linear solver fails, the fallback solver with total pivoting is started at time 0.012287. That might raise performance issues, for more information use -lv LOG_LS.</p>
LOG_LS | warning | <p>Matrix singular!</p>
LOG_LS | warning | <p>Failed to solve linear system of equations (no. 89) at time 0.012287, system is singular for U[2, 2].</p>
